experiment_id,date,architecture,encoder,pretrained_weights,loss,optimizer,learning_rate,scheduler,epochs,batch_size,image_size,crop_size,augmentation,normalization,mean_iou,mean_iou_change_vs_baseline_pct,mean_dice,mean_dice_change_vs_baseline_pct,pixel_accuracy,pixel_accuracy_change_vs_baseline_pct,checkpoint_path,comments
000_baseline_majority,2026-06-19T10:52:18,majority_baseline,,,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic,imagenet,0.019816,0.000000,0.028792,0.000000,0.376508,0.000000,,Predicts `road` for every valid pixel.
020_final_tiny_unet_ce_cosine,2026-06-19T11:25:13,tiny_unet,,,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,none,0.361261,1723.077311,0.442397,1436.527508,0.863566,129.361926,outputs/train/020_final_tiny_unet_ce_cosine/checkpoints/best.pt,Training run; best epoch 29 by validation mean IoU.
020_final_tiny_unet_ce_cosine_eval,2026-06-19T11:29:33,tiny_unet,,,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,none,0.341933,1625.539968,0.426524,1381.397610,0.865658,129.917558,outputs/train/020_final_tiny_unet_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
021_final_unet_resnet34_ce_cosine,2026-06-19T12:07:42,unet,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.530208,2575.656036,0.606461,2006.352459,0.946001,151.256547,outputs/train/021_final_unet_resnet34_ce_cosine/checkpoints/best.pt,Training run; best epoch 30 by validation mean IoU.
021_final_unet_resnet34_ce_cosine_eval,2026-06-19T12:09:58,unet,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.664763,3254.678038,0.782822,2618.887191,0.946943,151.506741,outputs/train/021_final_unet_resnet34_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
022_final_unetplusplus_resnet34_ce_cosine,2026-06-19T12:52:56,unetplusplus,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.542349,2636.924707,0.618246,2047.283968,0.947846,151.746576,outputs/train/022_final_unetplusplus_resnet34_ce_cosine/checkpoints/best.pt,Training run; best epoch 29 by validation mean IoU.
022_final_unetplusplus_resnet34_ce_cosine_eval,2026-06-19T12:55:14,unetplusplus,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.668604,3274.061365,0.785664,2628.757988,0.948593,151.944979,outputs/train/022_final_unetplusplus_resnet34_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
023_final_fpn_resnet34_ce_cosine,2026-06-19T13:30:45,fpn,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.565918,2755.863948,0.646965,2147.030425,0.946001,151.256547,outputs/train/023_final_fpn_resnet34_ce_cosine/checkpoints/best.pt,Training run; best epoch 30 by validation mean IoU.
023_final_fpn_resnet34_ce_cosine_eval,2026-06-19T13:32:53,fpn,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.683762,3350.555107,0.799972,2678.452348,0.946849,151.481775,outputs/train/023_final_fpn_resnet34_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
024_final_pspnet_resnet34_ce_cosine,2026-06-19T14:06:28,pspnet,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.505327,2450.095882,0.591708,1955.112531,0.929483,146.869389,outputs/train/024_final_pspnet_resnet34_ce_cosine/checkpoints/best.pt,Training run; best epoch 26 by validation mean IoU.
024_final_pspnet_resnet34_ce_cosine_eval,2026-06-19T14:09:06,pspnet,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.583456,2844.368187,0.710126,2366.400389,0.930482,147.134722,outputs/train/024_final_pspnet_resnet34_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
025_final_deeplabv3plus_resnet50_ce_cosine,2026-06-19T14:42:48,deeplabv3plus,resnet50,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.577441,2814.013928,0.660095,2192.633370,0.946174,151.302496,outputs/train/025_final_deeplabv3plus_resnet50_ce_cosine/checkpoints/best.pt,Training run; best epoch 26 by validation mean IoU.
025_final_deeplabv3plus_resnet50_ce_cosine_eval,2026-06-19T14:45:13,deeplabv3plus,resnet50,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.673021,3296.351433,0.788682,2639.240067,0.947185,151.571016,outputs/train/025_final_deeplabv3plus_resnet50_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
